utility_name,2014change,2015change,2016change,2017change,2018change,2019change,2020change,2021change,2022change,2023change
Duke Energy Florida,7.699601876078126,-1.9571453772279708,-9.257114019792514,3.4468267693696064,6.1269412087707575,3.6786994403876907,-1.2610053981787268,1.7763842142072315,13.600253553599364,16.42403070586143
Florida Power & Light Co,6.2501310471830704,-3.469557952266494,-4.65284295583311,9.982309492515677,-2.9591079763508055,1.5795417181122589,-5.232264273375942,7.337109021028243,20.002178422994014,11.606011851063444
Florida Public Utilities Co,-2.7611869912306077,10.711408812671873,-0.06999103429178712,-1.4185935907953706,-4.891944826164427,2.707857040462587,2.724832907535648,-7.158451784795732,3.871258854156936,27.779582530739518
State Total,5.458173398108993,-2.5255584229169328,-2.9865727024268205,3.246464917384069,-0.376652608256567,1.24260517139785,-3.6658042192254783,5.5628345833680415,16.691931750850486,9.924774638223774
Tampa Electric Co,5.2759855911779034,-1.2678999705225822,-1.9465507886720783,-1.1382003275227193,1.3269438412445462,-3.6590418112985366,-6.402286079384228,14.14863165524719,17.225496640814033,21.44093712742231
