date,Florida Power & Light Co,Duke Energy Florida,Florida Public Utilities Co,Tampa Electric Co,value,fpl_adjusted,duke_adjusted,teco_adjusted
2018-01-01T00:00:00Z,0.114873881120564,0.131000652793556,0.146001734120213,0.113043816811267,248.859,0.1425160102906673,0.16252337084368285,0.14024557717399894
2018-02-01T00:00:00Z,0.114202692191063,0.130635574059742,0.146715357759139,0.113697288054904,249.529,0.14130288500516242,0.16163527448253656,0.1406775489367856
2018-03-01T00:00:00Z,0.10706788509123,0.130411948390717,0.148801523297491,0.114101305532694,249.577,0.1324495164972595,0.16132754929359175,0.14115028737734253
2018-04-01T00:00:00Z,0.105184576067958,0.130591434,0.148040033361134,0.114197222439001,250.227,0.12978174371420145,0.16112993608214943,0.14090197640647112
2018-05-01T00:00:00Z,0.10680540339483,0.130758433233795,0.148496434845509,0.109700949106215,250.792,0.13148471185255753,0.1609725198310486,0.13504932545276976
2018-06-01T00:00:00Z,0.106237642221324,0.131136999967926,0.145679363274587,0.112192125628663,251.018,0.13066800840854448,0.1612932126146229,0.13799178246518048
2018-07-01T00:00:00Z,0.106899890707587,0.131555895,0.145349014815946,0.111645389508523,251.214,0.1313799631264254,0.1616821918129165,0.13721218103943414
2018-08-01T00:00:00Z,0.104835680172062,0.131420094206135,0.145411203814064,0.111654680752975,251.663,0.12861317542778544,0.16122712804580147,0.13697877496904592
2018-09-01T00:00:00Z,0.107301143029928,0.13149983068919,0.145451182291827,0.113697104697032,252.182,0.13136690763554115,0.1609929365563042,0.1391973713364596
2018-10-01T00:00:00Z,0.109621601752393,0.131533639665708,0.116597353497164,0.113126924811377,252.772,0.13389454752993735,0.16065845496206077,0.13817603619116897
2018-11-01T00:00:00Z,0.111381924842176,0.130815736892301,0.146017699115044,0.114232089721819,252.594,0.1361405189340329,0.15989418687539214,0.13962423432422721
2018-12-01T00:00:00Z,0.108907999617586,0.134713632694063,0.147900018833911,0.115800138628245,252.767,0.1330255674907434,0.16454583226936428,0.1414439638099974
2019-01-01T00:00:00Z,0.112108591192146,0.13597437662547,0.154449936,0.107041522046428,252.561,0.13704661710179142,0.166221233635046,0.13085240238856463
2019-02-01T00:00:00Z,0.109400674315839,0.135778664373651,0.147120905099628,0.106833360737809,253.319,0.13333616108393276,0.16548532244343991,0.1302071516977117
2019-03-01T00:00:00Z,0.109060769433163,0.135706653116362,0.147261045987376,0.104933718488906,254.277,0.1324211001244061,0.16477441332268292,0.12741005326357405
2019-04-01T00:00:00Z,0.107996732776817,0.136066528904005,0.14961283185840701,0.111846310246747,255.233,0.13063799458134348,0.16459255765077524,0.1352946269416618
2019-05-01T00:00:00Z,0.106408989704113,0.135991644380709,0.136506530883329,0.110007352,255.296,0.1286856210016109,0.16446137922015566,0.13303729737709954
2019-06-01T00:00:00Z,0.110220842807328,0.136647112033408,0.149023443662638,0.109255918650863,255.213,0.13333883246550945,0.1653078121546256,0.1321715227519944
2019-07-01T00:00:00Z,0.109986431050804,0.136905621991293,0.148254453561289,0.107626666197234,255.802,0.1327488866212435,0.16523919103383003,0.12990075204676438
2019-08-01T00:00:00Z,0.109962839235712,0.136440288128214,0.148166425068624,0.109143905782815,256.036,0.13259911462181959,0.16452704868565768,0.13161160055303892
2019-09-01T00:00:00Z,0.11270943583813,0.136705102718848,0.14833187138925,0.109573341808356,256.43,0.13570228381833613,0.16459309294397134,0.13192642318213724
2019-10-01T00:00:00Z,0.109832408172537,0.136260413471465,0.14861225808768,0.109368944218074,257.155,0.1318655183216559,0.1635951569131732,0.13130908042144468
2019-11-01T00:00:00Z,0.116724047027389,0.135887286057901,0.149789424426766,0.109887730108457,257.879,0.1397462210080314,0.16268913898413007,0.13156153688026256
2019-12-01T00:00:00Z,0.109495046833054,0.135689200927194,0.150190201200788,0.11191380997216,258.63,0.1307107441106243,0.16198026243151892,0.133598165403954
2020-01-01T00:00:00Z,0.107277411395089,0.131637336484168,0.152840337604408,0.109556175539185,258.906,0.1279269022307037,0.15697579253008814,0.1306442985033914
2020-02-01T00:00:00Z,0.106713862662805,0.131325506851749,0.152979210632661,0.107660185452967,259.246,0.12708798356094114,0.15639855440941308,0.12821498104935058
2020-03-01T00:00:00Z,0.10260664206511,0.136744792492805,0.154424756423847,0.109791085604502,258.15,0.12271539757685918,0.16354391138413174,0.13130784176527277
2020-04-01T00:00:00Z,0.106716610877852,0.136141247519909,0.154556383746092,0.108627309194747,256.126,0.12863941917513175,0.16410876303769142,0.13094263251448343
2020-05-01T00:00:00Z,0.082154499,0.111410419114108,0.162227245920975,0.108523244086443,255.848,0.09913911513968451,0.13444340240348931,0.13095933298574383
2020-06-01T00:00:00Z,0.104264250332369,0.137729885405626,0.151013793623275,0.088020748,257.004,0.1252538994572702,0.1654565698584605,0.10574038450380538
2020-07-01T00:00:00Z,0.106902487905723,0.138628631865697,0.149298825675521,0.088343605,258.408,0.12772548806921122,0.16563140870050086,0.10555161332044675
2020-08-01T00:00:00Z,0.105765565650963,0.138391943013342,0.149375832,0.088355706,259.366,0.1259003580662447,0.16473788110170665,0.10517615023500383
2020-09-01T00:00:00Z,0.109150850472293,0.13831931097131,0.14969175443103,0.103114801409427,259.951,0.12963770817006545,0.16428088642822758,0.12246873455670225
2020-10-01T00:00:00Z,0.105747253424249,0.137887506281456,0.152043868394815,0.103188424794097,260.249,0.12545146577588956,0.16358051121944478,0.12241584270363803
2020-11-01T00:00:00Z,0.10946945528696,0.137706706030634,0.148663822142375,0.103706890081884,260.895,0.12954567379293053,0.1629615126135419,0.12272627937546153
2020-12-01T00:00:00Z,0.107867616554506,0.137524111511312,0.148632478632478,0.104838830960463,262.005,0.12710926764859942,0.1620559502155512,0.12354020094423872
2021-01-01T00:00:00Z,0.11119436425745,0.134480250901614,0.155989144996736,0.112302170684796,262.518,0.13077339614644953,0.15815944668124135,0.13207626441449843
2021-02-01T00:00:00Z,0.10951361332556,0.134334726208478,0.129286809529152,0.112962392543246,263.583,0.12827630008521052,0.15734995063815918,0.13231594980930808
2021-03-01T00:00:00Z,0.106872290313386,0.13446646,0.141491395793499,0.113503762104069,264.91,0.12455537599915224,0.15671527610630026,0.1322840908970385
