date,Florida Power & Light Co,Duke Energy Florida,Florida Public Utilities Co,Tampa Electric Co
2018-01-01,0.11487388112056438,0.1310006527935567,0.14600173412021372,0.11304381681126754
2018-02-01,0.11420269219106383,0.1306355740597426,0.1467153577591396,0.11369728805490455
2018-03-01,0.10706788509123095,0.1304119483907177,0.14880152329749102,0.11410130553269443
2018-04-01,0.10518457606795804,0.130591433995671,0.14804003336113428,0.11419722243900193
2018-05-01,0.10680540339483097,0.13075843323379593,0.14849643484550998,0.10970094910621549
2018-06-01,0.10623764222132417,0.13113699996792677,0.14567936327458783,0.11219212562866358
2018-07-01,0.10689989070758785,0.131555895429677,0.14534901481594623,0.11164538950852369
2018-08-01,0.10483568017206288,0.13142009420613504,0.1454112038140644,0.11165468075297519
2018-09-01,0.10730114302992831,0.13149983068919077,0.14545118229182724,0.1136971046970322
2018-10-01,0.10962160175239345,0.13153363966570852,0.11659735349716445,0.1131269248113775
2018-11-01,0.11138192484217624,0.13081573689230125,0.14601769911504422,0.1142320897218196
2018-12-01,0.10890799961758627,0.13471363269406317,0.1479000188339118,0.11580013862824583
2019-01-01,0.11210859119214668,0.13597437662547038,0.154449935628556,0.10704152204642865
2019-02-01,0.10940067431583912,0.1357786643736514,0.1471209050996285,0.10683336073780984
2019-03-01,0.10906076943316353,0.13570665311636293,0.14726104598737602,0.10493371848890685
2019-04-01,0.10799673277681719,0.13606652890400583,0.1496128318584071,0.11184631024674724
2019-05-01,0.1064089897041137,0.1359916443807098,0.13650653088332965,0.110007352202323
2019-06-01,0.11022084280732894,0.13664711203340857,0.14902344366263842,0.1092559186508632
2019-07-01,0.10998643105080466,0.13690562199129358,0.1482544535612891,0.10762666619723403
2019-08-01,0.10996283923571286,0.13644028812821427,0.14816642506862412,0.1091439057828156
2019-09-01,0.11270943583813058,0.13670510271884823,0.14833187138925016,0.1095733418083566
2019-10-01,0.10983240817253737,0.1362604134714659,0.14861225808768086,0.10936894421807417
2019-11-01,0.11672404702738923,0.1358872860579013,0.1497894244267665,0.10988773010845715
2019-12-01,0.10949504683305442,0.13568920092719494,0.15019020120078833,0.11191380997216033
2020-01-01,0.10727741139508928,0.1316373364841689,0.1528403376044081,0.10955617553918559
2020-02-01,0.1067138626628058,0.1313255068517499,0.15297921063266132,0.10766018545296703
2020-03-01,0.10260664206511047,0.13674479249280552,0.15442475642384773,0.10979108560450268
2020-04-01,0.10671661087785227,0.1361412475199099,0.15455638374609282,0.1086273091947472
2020-05-01,0.08215449881108587,0.11141041911410891,0.16222724592097504,0.10852324408644337
2020-06-01,0.10426425033236984,0.13772988540562625,0.1510137936232758,0.08802074782312591
2020-07-01,0.10690248790572399,0.13862863186569752,0.14929882567552158,0.0883436052337247
2020-08-01,0.10576556565096373,0.13839194301334262,0.14937583151697,0.08835570618347237
2020-09-01,0.1091508504722933,0.1383193109713108,0.14969175443103006,0.10311480140942714
2020-10-01,0.1057472534242497,0.1378875062814566,0.15204386839481557,0.1031884247940976
2020-11-01,0.1094694552869607,0.13770670603063498,0.14866382214237592,0.10370689008188405
2020-12-01,0.10786761655450654,0.13752411151131283,0.14863247863247864,0.10483883096046322
2021-01-01,0.11119436425745055,0.1344802509016141,0.15598914499673666,0.11230217068479681
2021-02-01,0.10951361332556023,0.13433472620847864,0.12928680952915217,0.11296239254324615
2021-03-01,0.10687229031338603,0.134466459629888,0.14149139579349904,0.11350376210406912
2021-04-01,0.10799817501410622,0.1352863768800162,0.1425746590275313,0.1126697058714784
2021-05-01,0.11134495898034641,0.13504188216415577,0.1418996006845408,0.11154029401258621
2021-06-01,0.11275407061545069,0.135226561377331,0.14004839685420448,0.1111800373230347
2021-07-01,0.11197042197071447,0.13529369067825187,0.13932562985413902,0.11109566919683131
2021-08-01,0.11300342292036229,0.13594943974089327,0.13935322605842837,0.11095883899415054
2021-09-01,0.11710236334798106,0.14046722469080325,0.13952522444806545,0.12394994740015672
2021-10-01,0.1127864081620125,0.14004729284711845,0.14061184395172607,0.12427246276812148
2021-11-01,0.1196977953174589,0.1388890612898112,0.14264120521993248,0.12558566015312017
2021-12-01,0.11245266943586127,0.14262545600823862,0.14230585993330158,0.1268466919086807
2022-01-01,0.1340335074707533,0.15709478420483391,0.13973747016706442,0.1309481363847677
2022-02-01,0.138790690665558,0.15672908709242278,0.13947435016810672,0.12866409400702175
2022-03-01,0.13050069238963544,0.1575856320820184,0.14144021051566213,0.12950152585115962
2022-04-01,0.1331355044108449,0.15163187876757245,0.14177292046144507,0.14037034429892106
2022-05-01,0.12946746613368865,0.15431259588301344,0.1408781296023564,0.138517107898816
2022-06-01,0.1332337400432856,0.15334745162519017,0.13876385623110513,0.1370303407870446
2022-07-01,0.13340811255926968,0.1530675492749808,0.13880291809439593,0.1364320393320114
2022-08-01,0.1337483404375179,0.15303864417902577,0.15412995769854648,0.13604173375944448
2022-09-01,0.1404582169754408,0.15305234262552678,0.15438409433015557,0.13768893395335066
2022-10-01,0.13681369873089655,0.15420481196499466,0.15630358270914177,0.138926865750528
2022-11-01,0.13444471322956233,0.15490823521534772,0.15817665648936738,0.1402690577166464
2022-12-01,0.13802331796305498,0.16646631857534172,0.15680873908781104,0.14309484041275092
2023-01-01,0.14367313391036762,0.1850869666830443,0.18649249583101724,0.15667134058670248
2023-02-01,0.15885660003587254,0.18674576770978782,0.1885387645306946,0.15750675293319374
2023-03-01,0.14029178283231467,0.17475157790366663,0.18911917098445596,0.156550366988638
2023-04-01,0.15795873279862854,0.1803286815761336,0.18812541694462975,0.16981381107086368
