state,change1,change2,change3,change4,change5,change6,change7,change8,change9,change10,pandemic_change
ME,6.032926128977588,3.3153200933628093,-0.5284389949702085,1.2161474712367721,10.413832863730137,4.319463374731815,-4.76197868184042,3.8227275953981494,31.6393999210661,17.387246913987248,60.435046851932384
NH,5.787841450540422,5.791992422121357,-3.3283292668495603,3.4915009794997927,6.365055282375984,-1.8289402529510883,-0.011296689107164519,4.349018094282015,26.689186120103848,6.643461090699796,40.98150567661656
HI,-1.4565098390541966,-18.910593227925943,-8.704183495754684,7.52480330344514,12.595194353662093,0.042667096213049906,-3.2994872015137773,9.285255550621702,24.621357509311476,-3.7423307886592783,31.095985097565787
TX,3.09085393685823,-1.0134536272885613,-5.525127903895695,-4.703843300194446,7.508730841327008,1.846551261422058,-1.155884394315351,-0.2578052178073665,22.707649505751867,0.6253687614653775,23.156699757030633
LA,3.03270059740028,-2.8988299174525984,-5.980266384811058,2.371579417044923,6.354688431815904,-1.7779946206270891,-3.860940316132989,13.27112776711894,21.204125795816097,-10.991327607504479,22.19936563361888
OK,3.3536646932772607,-2.897554727072566,-0.07879526540015211,-0.46756785534828593,6.3834930756706685,-2.8703909174617546,-4.293293650224123,9.791220356450458,19.97068952082001,-8.715503773112736,20.237459229818956
FL,6.812005880072467,1.7984575950268726,-5.694998483724654,1.4394234634247216,1.3442354396249716,1.1726369640952554,-0.82664189180104,1.3947961623068745,18.494282127672218,8.606834130044252,30.487891913166244
IL,10.69884188880562,1.2884276604284344,-0.48581036929916777,0.16050563606096155,5.968147111899927,-2.743253805006054,1.7411073464749887,1.999972657111393,17.612232682770436,-5.480014259979592,13.39037647519282
NV,5.2229304044459886,0.6766979131664033,-9.473903795264583,-2.9859430559594937,10.302053994258358,-5.304100096956986,3.294256880742307,-0.16896784382086327,17.389963173371598,13.02362144707449,32.45420378319791
PA,3.7071638394919173,2.554668116792971,0.6195463716584385,-2.4425699619349674,4.862604840461823,-3.811952768329558,-0.5009820226014315,1.9307326621837724,16.2708056688088,5.413031888011453,24.93097586255119
